,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_DIST_C4H8_T1,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,80,9.946587545327228,3.5066187620416094,1.561170916195494,20,0.651846952110162,3.5026167725123014,0.9501111003088211,26863.068685043312,[0.95547312 0.96312314 0.92298347 0.94592726 0.9630484 ],"[16197.83007812 16745.52734375 16829.08789062 18079.68945312
 20468.3125    ]",[0.98059195 0.9819594  0.98222369 0.97781646 0.97781926],"[10736.72753906  9175.23046875  9970.20507812 10254.59472656
  5858.140625  ]",0.9501110792160035,17664.089453125,0.9800821542739868,9198.9796875,0.014958951825488393,1531.4888683602758,0.0019299824278396361,1745.597309561504,0.992417255,0.00738822451,17411.2063,0.992417263,0.9999377,7171.73712,False,False,6755170.19,5846647.36,8563001.3,24582.943420000003
1,80,9.999406015514127,3.535369541905433,2.8894800891707004,20,1.106120062594282,3.504179812954569,0.9842626211665333,34984.33050412708,[0.98578888 0.99004656 0.97750717 0.98125964 0.98671085],"[21268.3671875  22046.29492188 22759.15039062 23302.27148438
 25806.88671875]",[0.98082387 0.98094141 0.98029536 0.9804216  0.97825933],"[15045.62695312 12161.58984375 12796.20605469 12711.27734375
  7023.97949219]",0.9842626214027405,23036.594140625,0.9801483154296875,11947.7359375,0.004391609580297394,1544.6293765318046,0.0009746773315369893,2652.882839082166,0.999503289,0.000309660489,20702.6413,0.999503289,0.999967632,10541.4643,False,False,7552451.75,6922211.71,9959164.36,31244.1056
2,80,9.998918757427719,3.5285420432146757,2.4234690699429104,20,0.9279377327974707,3.500133312549773,0.9761242364428252,32187.19712316628,[0.97868389 0.98421013 0.96446502 0.97247475 0.98078728],"[19227.71289062 20117.1796875  20694.18945312 21485.51367188
 23952.87890625]",[0.98031038 0.98181057 0.98107696 0.97943258 0.97799075],"[13820.53320312 11201.4296875  11920.04003906 11945.33105469
  6571.1875    ]",0.9761242151260376,21095.494921875,0.9801242470741272,11091.704296875,0.006970416123526499,1607.7011135676655,0.0013278710671965675,2421.092221093661,0.998993089,0.000815961834,19428.8018,0.99899309,0.999960604,9471.59505,False,False,7277261.22,6547151.57,9473446.03,28900.39685
3,80,9.972648150344021,3.5250567942689486,2.459411835639077,20,0.9434268344437677,3.5019690619628143,0.9767210219476494,32373.142952003058,[0.97921294 0.9846527  0.96543592 0.97310424 0.98119926],"[19331.1328125  20227.13085938 20817.8203125  21589.71289062
 24064.45898438]",[0.98039627 0.98182631 0.98108876 0.97958255 0.97812372],"[13932.79980469 11284.41308594 11996.6796875  12012.54589844
  6609.02978516]",0.9767210125923157,21206.051171875,0.9802035212516784,11167.09365234375,0.006776583157876958,1608.851675557,0.0012779191105145116,2443.0244811758366,0.999059788,0.000750040263,19482.8173,0.999059789,0.999961338,9567.37735,False,False,7292914.68,6568041.02,9500629.97,29050.194649999998
4,80,9.995085424636498,3.500805392583094,2.296001178744496,20,0.8809972950546037,3.5014066405405866,0.9732665615822663,31392.13245029158,[0.97618961 0.98206931 0.95984095 0.96946979 0.97876304],"[18688.98632812 19601.33984375 20098.81054688 20966.67578125
 23429.953125  ]",[0.98019868 0.98191845 0.98123884 0.97912961 0.97787094],"[13426.71582031 10919.61621094 11657.11816406 11716.8828125
  6454.54882812]",0.9732665419578552,20557.153125,0.9800713062286377,10834.9763671875,0.00788551145593072,1614.5830901173479,0.0014504973870580172,2339.491347855958,0.998725951,0.00108487932,19087.2923,0.998725953,0.999958805,9181.73056,False,False,7212959.98,6447217.07,9347655.05,28269.02286
5,80,9.989609898336237,3.5093796646388773,1.677420031112474,20,0.6875785231624151,3.5191929657724588,0.9549592796801732,27649.155976955088,[0.95985907 0.9672935  0.93053538 0.95078796 0.96632063],"[16599.99609375 17229.84960938 17389.90625    18583.171875
 20978.3203125 ]",[0.9805218  0.9821732  0.98222876 0.97816205 0.9780246 ],"[11225.86621094  9482.29394531 10273.60253906 10517.8984375
  5964.86425781]",0.9549593091011047,18156.248828125,0.9802220821380615,9492.905078125,0.013558379856570789,1550.0819193625282,0.001843697278004115,1849.8885818365793,0.994478546,0.00532671542,17699.598,0.994478552,0.999941953,7524.41249,False,False,6837661.27,5956537.56,8706062.38,25224.01049
6,80,9.990710126276545,3.529921847301338,2.578317425165766,20,0.9822234957709246,3.500045125829419,0.9791428584193328,33105.042976441655,[0.98132676 0.98642492 0.96933311 0.97568774 0.98294169],"[19853.56835938 20734.16210938 21367.64648438 22076.2265625
 24558.36523438]",[0.98037624 0.98151082 0.98074865 0.97968078 0.97794867],"[14260.48242188 11528.48144531 12223.23046875 12207.52246094
  6715.54101562]",0.9791428446769714,21717.99375,0.9800530314445496,11387.0515625,0.006006628542422677,1597.6727360780292,0.0012066836261676683,2508.8637174372607,0.99922775,0.000582732137,19823.4664,0.999227751,0.999963248,9835.90273,False,False,7365707.38,6667000.06,9628860.04,29659.36913
7,80,9.942494387997918,3.500277910403668,2.6596031582078536,20,1.0280688171743524,3.5004911629182387,0.9803613827090738,33522.39741324942,[0.98240858 0.98730755 0.97129804 0.97699511 0.98379761],"[20089.16992188 20998.97460938 21634.16601562 22310.09375
 24811.52148438]",[0.98080689 0.981727   0.98100168 0.98025137 0.97862679],"[14497.65234375 11716.66113281 12390.51171875 12359.98632812
  6803.21972656]",0.9803613781929016,21968.78515625,0.9804827451705933,11553.60625,0.0056164738815114865,1598.943231187799,0.0010412154788317365,2553.853011158269,0.999332057,0.00048255379,19954.0093,0.999332058,0.999965147,10079.5343,False,False,7416213.68,6725409.45,9707578.76,30033.5436
8,80,9.998750072281082,3.501255909684138,1.7743893103572195,20,0.7305441522030606,3.5016568795618577,0.9584540763470221,28245.13799984772,[0.96301633 0.97024047 0.93604761 0.9543038  0.96866208],"[16900.71679688 17603.32421875 17817.47851562 18961.39453125
 21368.83203125]",[0.98080814 0.98249465 0.9824248  0.97866315 0.97853333],"[11604.12109375  9720.23242188 10499.93066406 10723.90820312
  6025.75146484]",0.9584540605545044,18530.34921875,0.9805848121643066,9714.78876953125,0.012515678908573651,1566.2724257747273,0.0017311436179502395,1939.761445429276,0.995744544,0.00406195986,17908.1093,0.995744548,0.999945475,7815.07679,False,False,6907006.12,6041892.41,8819301.82,25723.18609
9,80,9.997754889884078,3.51540169342838,1.9721910293309692,20,0.8088371304363751,3.500107597665089,0.9647479739366354,29477.1574546043,[0.96864188 0.97539842 0.94610244 0.96068233 0.97291487],"[17556.17773438 18349.54101562 18698.15429688 19733.09960938
 22158.09570312]",[0.98110789 0.98290795 0.98260075 0.97948533 0.97925466],"[12367.25878906 10215.11914062 10973.73730469 11142.08007812
  6192.52490234]",0.9647479891777039,19299.013671875,0.9810713171958924,10178.14404296875,0.01057807297679291,1591.4011487419007,0.0015185058188855896,2109.0704958105684,0.997404103,0.00240213798,18337.8508,0.997404106,0.999950877,8374.56695,False,False,7022533.99,6203305.16,9027170.03,26712.41775
10,80,9.996001997883564,3.5145966011365375,2.8483271258193255,20,1.10731813397648,3.5047509928474865,0.9836454329002269,34735.75868505048,[0.9852587  0.98962337 0.97652799 0.98057723 0.98623973],"[21034.39453125 21860.625      22547.21289062 23121.38085938
 25628.64453125]",[0.98114508 0.98147124 0.98082352 0.9807905  0.97897321],"[14974.73632812 12105.55859375 12740.85839844 12669.7578125
  6995.61669922]",0.9836454033851624,22838.4515625,0.980640709400177,11897.30556640625,0.0045856426097844035,1559.539182721663,0.0008695498668795287,2640.029053635728,0.999482159,0.00033267725,20562.6629,0.999482159,0.999967496,10502.3434,False,False,7539579.25,6898456.64,9930233.07,31065.0063
11,80,9.98030499142995,3.5241143311422953,1.8238069210171948,20,0.8183568881181352,3.5031867766844678,0.9599555144041586,28614.66675069942,[0.96435624 0.97148436 0.93845141 0.95581388 0.96967167],"[17057.51953125 17764.75390625 18036.7109375  19147.19140625
 21555.39453125]",[0.98250741 0.98408544 0.98405623 0.98068583 0.98134023],"[11896.34570312  9925.86035156 10674.56347656 10905.80566406
  6109.18017578]",0.9599555134773254,18712.3140625,0.9825350284576416,9902.35107421875,0.012052087073772541,1572.5698476552304,0.0013831621202566701,1998.3966492762813,0.996251439,0.00355280352,17993.6623,0.996251443,0.999946333,8041.91243,False,False,6937546.01,6102063.5,8891753.45,26035.57473
12,80,9.96318896628936,3.516120096201464,1.5966552975141453,20,0.7967472495436684,3.500789340953271,0.9516742658193194,27236.605755695477,[0.95688272 0.96447623 0.92540932 0.94749212 0.96411097],"[16332.265625   16896.7421875  17012.46875    18244.7109375
 20632.14453125]",[0.98370701 0.98485559 0.98519564 0.98141104 0.98282409],"[11068.19824219  9410.75488281 10154.35839844 10471.43652344
  5959.9453125 ]",0.9516742706298829,17823.66640625,0.9835986733436585,9412.938671875,0.014512254511910714,1536.6414227804057,0.0013804056234652993,1807.3833609188773,0.993118595,0.00668582642,17504.7746,0.993118602,0.999938754,7459.88667,False,False,6810373.36,5936483.55,8675035.49,24964.66127
13,80,9.990709732200294,3.5006884167283756,2.0930897594580844,19,0.8176440814035884,3.5007473246299727,0.9681218038076658,30220.28735624798,[0.97165018 0.97808856 0.95153046 0.96413654 0.97520328],"[17943.9296875  18803.88867188 19204.4140625  20178.57617188
 22621.75390625]",[0.98058367 0.98312342 0.98199171 0.97931391 0.97854406],"[12850.69921875 10478.94140625 11288.85644531 11394.08691406
  6336.28857422]",0.9681218028068542,19750.5125,0.9807113528251648,10469.77451171875,0.009519327845640671,1605.3241014809419,0.001680696869017684,2203.6261533701036,0.998053634,0.00175526571,18596.7946,0.998053637,0.99995435,8658.18009,False,False,7061665.54,6284676.84,9124277.09,27254.974690000003
14,80,9.99999761446985,3.529412009876581,1.7209860924793627,20,0.6956328437443081,3.5011389929177112,0.9566317729821876,27918.71292977949,[0.96135193 0.96870428 0.93317449 0.95246869 0.9674595 ],"[16767.45117188 17404.62304688 17612.546875   18779.83984375
 21172.05664062]",[0.98035896 0.98201871 0.98199844 0.97802013 0.97771752],"[11369.75488281  9566.93554688 10356.5234375  10591.19238281
  5972.64501953]",0.9566317796707153,18347.303515625,0.9800227522850037,9571.41025390625,0.013060171357506955,1555.0411639247848,0.0018614416787798072,1888.996185329891,0.995099187,0.00470398847,17807.7798,0.995099192,0.999942816,7617.42827,False,False,6856224.61,5988232.5,8745221.91,25425.20807
15,80,9.987160370561215,3.5133050575847142,2.404720793658948,20,0.9275072913473994,3.519542462529517,0.9756519463723974,32078.036596111167,[0.97827929 0.98386186 0.96370268 0.97197431 0.98044157],"[19115.6796875  20024.57617188 20580.875      21386.8125
 23857.99023438]",[0.98045576 0.98204422 0.98133606 0.97965562 0.97837126],"[13800.91113281 11189.82910156 11910.71777344 11936.94433594
  6585.84277344]",0.9756519436836243,20993.18671875,0.9803725838661194,11084.8490234375,0.00712118206617524,1612.158828163732,0.001284436452836689,2409.862944241261,0.998963454,0.000847101103,19355.4098,0.998963455,0.99996061,9468.26602,False,False,7270975.78,6535472.39,9459239.39,28823.67582
16,80,9.995785857466766,3.5079000948957186,2.86942278716797,20,1.1072029206946277,3.5053179297444954,0.9839510344814792,34846.66446955962,[0.98552692 0.98983651 0.97701198 0.98091382 0.98646599],"[21121.39257812 21947.7421875  22632.01953125 23198.33203125
 25708.79492188]",[0.98099238 0.98121703 0.98057073 0.98061955 0.97863734],"[15013.40917969 12136.1171875  12770.99511719 12692.64550781
  7011.88183594]",0.9839510440826416,22921.65625,0.9804074048995972,11925.009765625,0.004490489218488543,1556.7940636094302,0.0009167877875258637,2646.7549635570635,0.999497169,0.000318600595,20616.6785,0.99949717,0.999967898,10545.6801,False,False,7552996.47,6912944.74,9950116.44,31162.3586
17,80,9.896245744950697,3.514512422828495,2.3408629731559727,20,0.898760572805695,3.5010582995936894,0.9736874616000459,31553.91069521197,[0.9765721  0.98238409 0.96055979 0.96989989 0.97902143],"[18746.         19652.7890625  20197.33398438 21029.35742188
 23503.97851562]",[0.98026949 0.98191959 0.98122036 0.9792757  0.977974  ],"[13570.18847656 11021.56542969 11752.11816406 11799.94921875
  6496.2734375 ]",0.9736874580383301,20625.891796875,0.9801318287849426,10928.0189453125,0.007734147235590849,1619.3055035701316,0.0013992230356888488,2369.370420457814,0.998846028,0.000963826814,19069.5303,0.998846029,0.999959386,9283.48152,False,False,7203876.15,6445252.94,9342038.19,28353.01182
18,80,9.996841039498872,3.5060735104933314,2.6038576708660393,20,1.0008030482602832,3.505256502972502,0.9796329948606164,33261.37745919525,[0.98176426 0.98678464 0.97011524 0.97621334 0.98328757],"[19933.44726562 20841.77734375 21459.18945312 22164.3671875
 24654.41796875]",[0.98061359 0.98169798 0.98095667 0.97999841 0.9783749 ],"[14349.37207031 11599.16796875 12286.27148438 12265.50878906
  6753.37255859]",0.9796330094337463,21810.63984375,0.9803283095359803,11450.73857421875,0.005853645773791289,1599.891305951079,0.0011204340768028928,2523.9382187976385,0.999264123,0.000549233915,19883.3912,0.999264123,0.99996416,9939.58538,False,False,7395541.25,6697984.08,9671840.69,29822.97658
19,80,9.955145634931556,3.5066373909082063,2.08577002917015,20,0.8176440814035884,3.5007791835640707,0.9676594629108927,30082.233104729414,[0.97124654 0.977723   0.95080173 0.96365553 0.97487044],"[17878.37695312 18730.14453125 19138.38085938 20111.41015625
 22556.234375  ]",[0.98037177 0.98224509 0.98175299 0.97893095 0.97813362],"[12734.62988281 10449.08203125 11208.02148438 11332.47851562
  6272.41308594]",0.9676594495773315,19682.909375,0.9802868843078614,10399.325,0.0096576893057218,1606.251467770202,0.0015790089793524835,2191.4512128651877,0.998027509,0.00178068502,18533.4383,0.998027511,0.99995402,8645.53578,False,False,7075056.3,6267188.13,9112173.01,27178.97408
